世次,名,忌名,系統,将軍家,夫人,夫人の系統
初代,頼宣卿,南龍院,東照宮第十子,・,謡林院,加藤清正公女
二代,光貞卿,清渓院,頼宣卿長子,・,天真院,伏見宮
三代,綱教卿,光林院,光貞卿長子,・,明真院,将軍綱吉公女
四代,頼職卿,深覚院,光貞卿第三子,・,・,・
五代,吉宗卿,有徳院,光貞卿第四子,後八代将軍「吉宗」公,寛徳院,伏見宮
六代,宗直卿,大慧院,西条頼純朝臣第十子,・,・,・
七代,宗将卿,菩提心院,宗直卿長子,・,浄眼院・明脱院,伏見宮・一条宮
八代,重倫卿,観自在院,宗将卿第二子,・,・,・
九代,治貞卿,舜恭院,宗直卿第二子,・,寛寛耀院,伏見宮・一条宮
十代,治宝郷,舜恭院,重倫郷第二子,・,貞恭院,将軍家治養女
十一代,斉順卿,顕龍院,将軍家斉第七子,・,観如院,将軍家治養女
十二代,斉彊卿,憲章院,将軍家斉第二十子,・,観如院,近衛家
十三代,慶福卿,昭徳院,斉順卿長子,後十四代将軍「家茂」公,静寛院宮,皇女　和宮
十四代,茂承卿,慈承院,西条頼学朝臣第七子,・,貞淑夫・温譲院,伏見宮・溝口家
十五代,頼倫卿,樹徳院,田安慶頼卿第六子,・,久子様,茂承卿長女
十六代,頼貞卿,優公院,頼倫卿長子,・,為子様,島津忠義公女
十七代,頼韻卿,・,頼貞卿長子,・, , 
十八代,剛　様,・,・,・,宝子様,頼貞卿長女
